Date,Open,High,Low,Close
04-Jun-02,3161.43,3195.56,3161.43,3191.6
05-Jun-02,3200.71,3269.24,3200.71,3255.52
06-Jun-02,3277.35,3282.35,3229.38,3259.31
07-Jun-02,3246.97,3246.97,3205.51,3217.76
10-Jun-02,3231.09,3283.25,3231.09,3279.49
11-Jun-02,3339.96,3368.56,3323.37,3362.42
12-Jun-02,3359.27,3377.88,3337.39,3344.41
13-Jun-02,3358.97,3369.63,3307.16,3311.16
14-Jun-02,3312.05,3321.92,3295.64,3312.07
17-Jun-02,3350.03,3350.44,3318.7,3323.5
18-Jun-02,3337.32,3361.73,3282.32,3284.54
19-Jun-02,3284.32,3306.11,3222.23,3242.26
20-Jun-02,3223.47,3276.06,3223.47,3264.02
21-Jun-02,3268.1,3268.1,3232.66,3242.75
24-Jun-02,3238.37,3238.37,3210.95,3231.62
25-Jun-02,3226.21,3244.33,3193.68,3214.34
26-Jun-02,3200.79,3206.87,3176.05,3180.89
27-Jun-02,3199.03,3221.6,3189.96,3217.15
28-Jun-02,3231.24,3252.65,3222.09,3244.7
01-Jul-02,3246.44,3293.21,3246.44,3288.71
02-Jul-02,3276.21,3296.87,3274.03,3285.04
03-Jul-02,3283.03,3314.23,3279.83,3310.19
04-Jul-02,3322.31,3337.69,3313.74,3316.77
05-Jul-02,3322.14,3334.87,3309.61,3330.61
08-Jul-02,3336.14,3366.72,3332.12,3357.66
09-Jul-02,3356.85,3361.92,3343.1,3358.58
10-Jul-02,3359.47,3366.74,3328.2,3332.36
11-Jul-02,3332.15,3332.15,3287.91,3290.56
12-Jul-02,3296.3,3318.33,3293.66,3305.83
15-Jul-02,3302.64,3305.85,3258.72,3278.71
16-Jul-02,3279.5,3286.94,3224.35,3229.18
17-Jul-02,3232.39,3236.68,3192.67,3216.07
18-Jul-02,3224.23,3253.4,3215.33,3245.74
19-Jul-02,3239.66,3250.59,3227.27,3230.27
22-Jul-02,3212.83,3212.83,3147.37,3153.34
23-Jul-02,3142.48,3179.08,3135.39,3176.93
24-Jul-02,3163.45,3167.6,3105.2,3107.48
25-Jul-02,3149.18,3169.96,3091.33,3094.96
26-Jul-02,3079.33,3084.34,3011.89,3024.35
29-Jul-02,3039.56,3039.56,2955.1,3030.06
30-Jul-02,3043.23,3080.7,2983.1,2990.91
31-Jul-02,2981.05,2998.34,2932.35,2987.65
01-Aug-02,2998.46,3018.52,2965.97,2975.81
02-Aug-02,2960.48,2992.19,2933.39,2985.01
05-Aug-02,2996.89,3018.71,2980.49,3011.35
06-Aug-02,2997.96,3026.98,2981.51,3023.26
07-Aug-02,3042.28,3055.22,3004.12,3009.48
08-Aug-02,3014.68,3019.49,2945.5,2950.09
09-Aug-02,2974.68,2982.51,2931.78,2976.34
12-Aug-02,2972.59,3014.3,2972.59,3007.85
13-Aug-02,3009.48,3066.7,3009.48,3036.4
14-Aug-02,3032.99,3037.37,3013.16,3020.7
16-Aug-02,3031.24,3070.86,3031.24,3065.9
19-Aug-02,3073.13,3079.99,3061.39,3064.04
20-Aug-02,3071.13,3094.8,3067.92,3089.58
21-Aug-02,3083.82,3109.91,3082.02,3084.38
22-Aug-02,3094.18,3109.72,3077.89,3080.7
23-Aug-02,3083,3120.69,3083,3119.18
26-Aug-02,3119,3130.78,3110.93,3123.6
27-Aug-02,3128.41,3142.52,3093.9,3097.85
28-Aug-02,3093.66,3103.38,3078.13,3099.38
29-Aug-02,3099.12,3117.53,3091.56,3114.16
30-Aug-02,3110.98,3185.08,3109.97,3181.23
02-Sep-02,3206.81,3227.62,3179.33,3187.26
03-Sep-02,3190.2,3193.44,3150.1,3159.77
04-Sep-02,3145.34,3180.6,3126.75,3173.35
05-Sep-02,3185.32,3197.29,3166.22,3181.47
06-Sep-02,3176.15,3177.49,3131.15,3141.11
09-Sep-02,3121.9,3126.3,3081.63,3089.47
11-Sep-02,3096.93,3130.41,3096.93,3125.66
12-Sep-02,3125.55,3136.88,3120.45,3131.34
13-Sep-02,3115.98,3127.29,3093.71,3098.94
16-Sep-02,3107.89,3109.91,3072.43,3076.01
17-Sep-02,3078.16,3107.89,3078.16,3103.9
18-Sep-02,3084.02,3094.61,3062.43,3069.78
19-Sep-02,3071.1,3071.1,3027.5,3040.3
20-Sep-02,3010.14,3030.8,2993.78,3024.35
23-Sep-02,3030.65,3035.93,3008.5,3021.28
24-Sep-02,3005.92,3032.22,2993.01,3022.25
25-Sep-02,2973.97,3023.65,2973.97,3021.08
26-Sep-02,3011.42,3038.06,3011.42,3014.69
27-Sep-02,3020.23,3039.43,3012.82,3037.26
30-Sep-02,3029.56,3029.56,2988.43,2991.36
01-Oct-02,2976.04,2987.48,2948.75,2959.66
03-Oct-02,2963.61,2970.29,2921.69,2938.06
04-Oct-02,2934.67,2942.16,2916.38,2930.51
07-Oct-02,2939.18,2957.99,2927.47,2952.78
08-Oct-02,2954.29,2978.91,2953.95,2973.35
09-Oct-02,2982.01,2992.91,2953.13,2956.89
10-Oct-02,2954.13,2972.62,2934.76,2969.49
11-Oct-02,2990.99,3005.78,2989.06,2995.77
14-Oct-02,2996.16,3013.39,2993.25,3003.39
16-Oct-02,3024.99,3031.01,2991.92,2994.99
17-Oct-02,2995.7,3010.7,2980.14,3006.14
18-Oct-02,3027.9,3038.92,3002.12,3009.76
21-Oct-02,3012.18,3018.99,2992.54,2998.01
22-Oct-02,2999.54,3006.13,2963.02,2965.97
23-Oct-02,2961.75,2969.55,2941.29,2948.96
24-Oct-02,2944.28,2958.01,2906.2,2908.05
25-Oct-02,2903.96,2906.84,2855.9,2875.53
28-Oct-02,2876.32,2876.32,2828.48,2834.41
29-Oct-02,2846.8,2891.03,2846.8,2885.23
30-Oct-02,2898.02,2908.21,2884.21,2888.59
31-Oct-02,2904.91,2955.49,2900.87,2949.32
01-Nov-02,2956.94,2962.32,2928.63,2950.58
04-Nov-02,2986.54,2994.8,2974.93,2987.58
05-Nov-02,2993.58,2993.58,2967.19,2982.39
07-Nov-02,2983.74,2993.61,2958.32,2975.26
08-Nov-02,2965.19,2966.59,2950.71,2956.84
11-Nov-02,2954.99,2959.12,2942.46,2948.04
12-Nov-02,2941.54,2963.83,2935.97,2961.24
13-Nov-02,2972.35,2977.67,2957.19,2960.66
14-Nov-02,2963.82,2991.61,2963.82,2986.56
15-Nov-02,2997.47,3037.61,2997.47,3033.91
18-Nov-02,3046.9,3071.28,3041.34,3057.16
20-Nov-02,3056.18,3084.03,3056.18,3075.48
21-Nov-02,3089.51,3110.38,3089.51,3101.36
22-Nov-02,3121.17,3162.66,3121.17,3141.61
25-Nov-02,3146.93,3183.29,3140.31,3175.56
26-Nov-02,3190.67,3210.68,3181.25,3187.76
27-Nov-02,3193.13,3206.63,3158,3174.11
28-Nov-02,3192.12,3229.75,3192.12,3220.75
29-Nov-02,3224.98,3245.98,3195.6,3228.82
02-Dec-02,3247.6,3277.37,3238.89,3270.36
03-Dec-02,3276.7,3292.87,3223.03,3230.14
